D,k,m,epsilon,minPts,datasize,sDBSCANtime,DBSCANtime,sDBSCANNMI,DBSCANNMI,sClusters,Clusters
1024,5,50,0.11,50,70000,76.5783314,76.90246369998204,0.2944796761794261,0.42963325563599863,14.0,6.0
1024,5,50,0.14,50,70000,75.8026123,76.69787069997983,0.42712767713536903,0.18684838948824278,23.0,3.0
1024,5,50,0.14,50,70000,76.6943957,76.69787069997983,0.41593262551927135,0.18684838948824278,25.0,3.0
1024,5,50,0.14,50,70000,76.3250025,76.69787069997983,0.41111361065985313,0.18684838948824278,18.0,3.0
1024,5,50,0.14,50,70000,78.2202475,76.69787069997983,0.42408407700868594,0.18684838948824278,26.0,3.0
1024,5,50,0.14,50,70000,76.9576309,76.69787069997983,0.41117475006350396,0.18684838948824278,24.0,3.0
